product_name,brands,nova_group,environmental_score_score,carbon_footprint_combined,nutrition_score_combined
pot au feu de légumes aux aromates,liebig,4.0,92.0,78.76,3.0
BAguette bressan,Crousresto',4.0,77.0,401.8,-1.0
Suédois Poulet,"Crous Languedoc roussillon,Crous Resto'",4.0,42.0,135.24,3.0
Salade ibérique,"Crous Languedoc Roussillon,Crous Resto'",4.0,46.0,80.66,8.0
Émincé de ble sauce Madras,Marks & Spencer,3.0,16.0,328.3,3.0
Chicken jalfrezi & pilau Rice,M&S,4.0,23.0,98.0,2.0
Poulet Korma & Riz Pilaf,Marks & Spencer,4.0,48.0,98.0,2.0
Tomato & Sausage Pasta Sauce,Marks & Spencer,3.0,90.0,710.4,4.0
Wrap Poulet à la Jamaïcaine,Marks & Spencer,4.0,31.0,83.3,1.0
Poulet basquaise et son riz,Comme j’aime,4.0,27.0,127.4,1.0
Dinde à l'Estragon et son Boulgour,Comme J'aime,4.0,51.0,172.25,1.0
Dinde à l'Indienne et son Riz Basmati aux Légumes,Comme j'aime,4.0,51.0,182.65,2.0
duo de saumons concombre tomate pain de miel au pavot,Monoprix,4.0,58.0,144.3,19.0
mildly curried coronation chicken bites,Marks & Spencer,4.0,23.0,127.4,6.0
Quiche Lorraine,"Marks & Spencer,M&S",4.0,40.0,621.6,15.0
Chicken tikka mini fillets,Marks & Spencer,4.0,23.0,411.6,0.0
Chicken & Mushroom Risotto,Marks & Spencer,4.0,38.0,68.6,3.0
Beef Lasagne,Marks & Spencer,3.0,30.0,966.6,6.0
Minestrone Soup with Bacon,M&S Food,3.0,83.0,666.0,-2.0
Chicken Piri Piri,Marks & Spencer,4.0,27.0,171.5,0.0
Petit salé aux lentilles,comme j'aime,4.0,85.0,207.94,0.0
Half Roast Chicken,M&S,4.0,49.0,480.2,0.0
Chilli & Rice Bowl,Marks & Spencer,3.0,-1.0,966.6,1.0
Penne sauce crémeuse volaille et champignons,comme j'aime,4.0,51.0,98.0,3.0
Roast Chicken Slices,M&S,3.0,50.0,480.2,-4.0
Chicken Arrabbiata,Marks & Spencer,4.0,29.0,68.6,1.0
Tajine de Poulet à l'Abricot et son Boulgour,Comme J'aime,4.0,48.0,129.85,2.0
Spiral Lollies,Marks & Spencer,4.0,38.0,68.6,3.0
Chicken Tikka Masala & Basmati Rice,Marks & Spencer,4.0,27.0,98.0,2.0
Chicken korma and pilau rice,"Marks & Spencer,Marks and Spencer",4.0,23.0,98.0,2.0
Butter Chicken,M&S Food,4.0,48.0,171.5,5.0
Chicken pasta bake,M&S,4.0,29.0,63.7,1.0
Taste Thailand - Chicken Panang Curry with Jasmine Rice,Marks & Spencer,4.0,19.0,78.4,3.0
Butter chicken,Marks & Spencer,4.0,22.0,171.5,11.0
British outdoor bred wafer thin honey roast ham,M&S Food,4.0,33.0,673.4,12.0
Beef Lasagne,Marks & Spencer,4.0,34.0,501.2,0.0
Chicken Korma,Marks & Spencer,3.0,27.0,171.5,3.0
Chicken Jalfrezi with Spiced Basmati Rice,Marks & Spencer,4.0,27.0,83.3,-1.0
