product_name,brands,nova_group,environmental_score_score,carbon_footprint_combined,nutrition_score_combined
pot au feu de légumes aux aromates,liebig,4.0,92.0,78.76,3.0
BAguette bressan,Crousresto',4.0,77.0,401.8,-1.0
Baguette Parisien,"Crous Languedoc Roussillon,Crous Resto'",4.0,,616.42,2.0
Suédois Poulet,"Crous Languedoc roussillon,Crous Resto'",4.0,42.0,135.24,3.0
Wrap Saumon guacamole,"Crous Languedoc Roussillon,Crous Resto'",4.0,,864.95,6.0
Salade Fusilli poulet tartare de légumes,"Crous Languedoc Roussillon, Crous Resto'",4.0,,73.99,-4.0
Club Turkey Bacon,Crous Languedoc Roussillon,4.0,,662.89,6.0
Salade fermière,Crous Languedoc Roussillon,4.0,,599.4,5.0
Salade ibérique,"Crous Languedoc Roussillon,Crous Resto'",4.0,46.0,80.66,8.0
Ciabatta Vietnamien,"Crous Languedoc Roussillon, Crous Resto'",4.0,,485.1,1.0
Pâtes sauce crème émincés de dinde,"Crous Languedoc Roussillon, Crous Resto'",4.0,,143.65,0.0
Émincé de ble sauce Madras,Marks & Spencer,3.0,16.0,328.3,3.0
Chicken jalfrezi & pilau Rice,M&S,4.0,23.0,98.0,2.0
Poulet Korma & Riz Pilaf,Marks & Spencer,4.0,48.0,98.0,2.0
Tomato & Sausage Pasta Sauce,Marks & Spencer,3.0,90.0,710.4,4.0
Pulled Pork & Chorizo Feijoada,"Marks & Spencer,M&S",4.0,,1413.4,3.0
Wrap Poulet à la Jamaïcaine,Marks & Spencer,4.0,31.0,83.3,1.0
Poulet basquaise et son riz,Comme j’aime,4.0,27.0,127.4,1.0
Jamaican Jerk Spiced Chicken Soup,Sainsbury's Taste The Difference,3.0,,29.4,-1.0
Artichoke Hearts,Trader Joe's,3.0,,859.2,5.0
Dinde à l'Estragon et son Boulgour,Comme J'aime,4.0,51.0,172.25,1.0
Dinde à l'Indienne et son Riz Basmati aux Légumes,Comme j'aime,4.0,51.0,182.65,2.0
Smoked Ham & Mustard Mayonnaise on soft oatmeal bread,"M&S, Marks & Spencer",,,251.6,6.0
duo de saumons concombre tomate pain de miel au pavot,Monoprix,4.0,58.0,144.3,19.0
mildly curried coronation chicken bites,Marks & Spencer,4.0,23.0,127.4,6.0
Quiche Lorraine,"Marks & Spencer,M&S",4.0,40.0,621.6,15.0
Wood fired pizza,M&S,3.0,,2116.4,15.0
mon pasta pot,knorr,4.0,,15.54,5.0
Spaghetti Carbonara,M&S,3.0,,81.4,8.0
Chicken tikka mini fillets,Marks & Spencer,4.0,23.0,411.6,0.0
Chicken & Mushroom Risotto,Marks & Spencer,4.0,38.0,68.6,3.0
Beef Lasagne,Marks & Spencer,3.0,30.0,966.6,6.0
Chicken & bacon pasta bake,Marks & Spencer,4.0,,86.0,6.0
Minestrone Soup with Bacon,M&S Food,3.0,83.0,666.0,-2.0
Chicken Piri Piri,Marks & Spencer,4.0,27.0,171.5,0.0
Petit salé aux lentilles,comme j'aime,4.0,85.0,207.94,0.0
Half Roast Chicken,M&S,4.0,49.0,480.2,0.0
